대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD4BE26GNNX,MHJ-PRD4BE26GNNX,상시,상시,정보없음(항공불포함),42248,42248,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[베트남] 다낭 공항 CIP 오키드 라운지 3시간 이용권 티켓 (출국장),4.5,38
MHJ-PRD310DAN4NV,MHJ-PRD310DAN4NV,상시,상시,정보없음(항공불포함),56004,56004,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[즉시확정] 다낭 바나힐 입장권 + 왕복 케이블카 포함 | QR코드티켓 | 알파인코스터 옵션선택,4.5,37
MHJ-PRD1FFCFC8CN,MHJ-PRD1FFCFC8CN,상시,상시,정보없음(항공불포함),109,109,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,여행서비스,★백원의행복★ [다낭] 공항 샌딩 + 시내 바나힐 호이안 셔틀버스 + 짐보관 #다낭 티라운지,5.0,5
MHJ-PRD0C6EAJZZE,MHJ-PRD0C6EAJZZE,상시,상시,정보없음(항공불포함),46857,46857,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭][단독투어] 바나힐 왕복차량 & E-티켓(입장권. 왕복케이블카) #호텔픽업및드랍(공항) #무제한이용,5.0,10
MHJ-PRD1B215NM9N,MHJ-PRD1B215NM9N,상시,상시,정보없음(항공불포함),58656,58656,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,★최강특가★ 다낭 바나힐 투어_ #왕복셔틀+#케이블카+#QR코드즉시입장+#짐보관100원의 행복,5.0,4
MHJ-PRD3AA5CTS0S,MHJ-PRD3AA5CTS0S,상시,상시,정보없음(항공불포함),69425,69425,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭출발] 영흥사 & 오행산 & 올드타운 야경(소원초) 투어(한국어가이드. 체크아웃),4.0,1
MHJ-PRD495ECXPCF,MHJ-PRD495ECXPCF,상시,상시,정보없음(항공불포함),12823,12823,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[다낭] 다낭투어패스_#무제한프리패스,,0
MHJ-PRD1FE41DFHO,MHJ-PRD1FE41DFHO,상시,상시,정보없음(항공불포함),5530,5530,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,레스토랑,[베트남] [다낭] 소금커피 클래스 & 로컬카페 아방쎄 체험 – 반값특가,,0
MHJ-PRD13A29QQFB,MHJ-PRD13A29QQFB,상시,상시,정보없음(항공불포함),4791,4791,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[즉시확정][베트남] 롯데마트 이바우처 금액권 #Lotte Mart,4.5,47
MHJ-PRD18911WE49,MHJ-PRD18911WE49,상시,상시,정보없음(항공불포함),3062,3062,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,여행서비스,[베트남] eSIM 베트남 전지역 로컬망 이심 로밍망 이심/전세계 무료통화 제공,4.5,17
MHJ-PRD2988DRBLA,MHJ-PRD2988DRBLA,상시,상시,정보없음(항공불포함),6258,6258,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,여행서비스,[즉시확정][베트남 이심] eSIM 로컬망 무제한 데이터,5.0,2
MHJ-PRD35DCF1SRX,MHJ-PRD35DCF1SRX,상시,상시,정보없음(항공불포함),2860,2860,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,여행서비스,[호텔예약고객전용] 다낭 공항 픽업샌딩 서비스(시내/호이안/남호이안 호텔) ​#베트남,4.0,15
MHJ-PRD46D4CHQBF,MHJ-PRD46D4CHQBF,상시,상시,정보없음(항공불포함),1139,1139,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,렌터카,[다낭][천원의행복]공항 픽업샌딩 서비스_하나투어에서 힐튼다낭+힐튼가든인+나만리트리트+쉐라톤그랜드+푸라마 리조트+신라모노그램 구매 고객한정,3.0,13
