대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,잔여좌석수,기준판매코드,기본상품명,호텔명,숙박일수,방문도시,호텔등급,상품구분,브랜드,성인가격_상세,아동가격_상세,가이드경비(USD),쇼핑횟수,일정상세
MAV1809,AVB223260325ZEF,20260325,수,이스타항공,,1009000,1,AVB223260325ZEF,나트랑 자유여행 5일#알마리조트/스위트오션뷰테라스룸 #리조트워터파크 #다채로운수영장 #아동동반여행 #공항-＞리조트 편도 픽업,"알마리조트/스위트오션뷰테라스룸, 공항-＞리조트 편도 픽업",3,나트랑,5,단체,브랜드미적용,1009000,987000,,0,깜란에 위치한 알마리조트 1베드 스위트 오션뷰 에어텔 상품입니다. 
MAV1809,AVB223260326ZEF,20260326,목,이스타항공,,1009000,1,AVB223260325ZEF,나트랑 자유여행 5일#알마리조트/스위트오션뷰테라스룸 #리조트워터파크 #다채로운수영장 #아동동반여행 #공항-＞리조트 편도 픽업,"알마리조트/스위트오션뷰테라스룸, 공항-＞리조트 편도 픽업",3,나트랑,5,단체,브랜드미적용,1009000,987000,,0,깜란에 위치한 알마리조트 1베드 스위트 오션뷰 에어텔 상품입니다. 
MAV1809,AVB223260327ZEF,20260327,금,이스타항공,,1009000,1,AVB223260325ZEF,나트랑 자유여행 5일#알마리조트/스위트오션뷰테라스룸 #리조트워터파크 #다채로운수영장 #아동동반여행 #공항-＞리조트 편도 픽업,"알마리조트/스위트오션뷰테라스룸, 공항-＞리조트 편도 픽업",3,나트랑,5,단체,브랜드미적용,1009000,987000,,0,깜란에 위치한 알마리조트 1베드 스위트 오션뷰 에어텔 상품입니다. 
MAV1809,AVB223260328ZEF,20260328,토,이스타항공,,939000,1,AVB223260325ZEF,나트랑 자유여행 5일#알마리조트/스위트오션뷰테라스룸 #리조트워터파크 #다채로운수영장 #아동동반여행 #공항-＞리조트 편도 픽업,"알마리조트/스위트오션뷰테라스룸, 공항-＞리조트 편도 픽업",3,나트랑,5,단체,브랜드미적용,1009000,987000,,0,깜란에 위치한 알마리조트 1베드 스위트 오션뷰 에어텔 상품입니다. 
MAV1809,AVB223260329RSF,20260329,일,에어서울,,939000,1,AVB223260325ZEF,나트랑 자유여행 5일#알마리조트/스위트오션뷰테라스룸 #리조트워터파크 #다채로운수영장 #아동동반여행 #공항-＞리조트 편도 픽업,"알마리조트/스위트오션뷰테라스룸, 공항-＞리조트 편도 픽업",3,나트랑,5,단체,브랜드미적용,1009000,987000,,0,깜란에 위치한 알마리조트 1베드 스위트 오션뷰 에어텔 상품입니다. 
MAV1809,AVB223260329ZEF,20260329,일,이스타항공,,939000,1,AVB223260325ZEF,나트랑 자유여행 5일#알마리조트/스위트오션뷰테라스룸 #리조트워터파크 #다채로운수영장 #아동동반여행 #공항-＞리조트 편도 픽업,"알마리조트/스위트오션뷰테라스룸, 공항-＞리조트 편도 픽업",3,나트랑,5,단체,브랜드미적용,1009000,987000,,0,깜란에 위치한 알마리조트 1베드 스위트 오션뷰 에어텔 상품입니다. 
MAV1809,AVB223260330RSF,20260330,월,에어서울,,939000,1,AVB223260325ZEF,나트랑 자유여행 5일#알마리조트/스위트오션뷰테라스룸 #리조트워터파크 #다채로운수영장 #아동동반여행 #공항-＞리조트 편도 픽업,"알마리조트/스위트오션뷰테라스룸, 공항-＞리조트 편도 픽업",3,나트랑,5,단체,브랜드미적용,1009000,987000,,0,깜란에 위치한 알마리조트 1베드 스위트 오션뷰 에어텔 상품입니다. 
MAV1809,AVB223260330ZEF,20260330,월,이스타항공,,939000,1,AVB223260325ZEF,나트랑 자유여행 5일#알마리조트/스위트오션뷰테라스룸 #리조트워터파크 #다채로운수영장 #아동동반여행 #공항-＞리조트 편도 픽업,"알마리조트/스위트오션뷰테라스룸, 공항-＞리조트 편도 픽업",3,나트랑,5,단체,브랜드미적용,1009000,987000,,0,깜란에 위치한 알마리조트 1베드 스위트 오션뷰 에어텔 상품입니다. 
MAV1809,AVB523260331RFF,20260331,화,에어로케이,,949000,8,AVB223260325ZEF,나트랑 자유여행 5일#알마리조트/스위트오션뷰테라스룸 #리조트워터파크 #다채로운수영장 #아동동반여행 #공항-＞리조트 편도 픽업,"알마리조트/스위트오션뷰테라스룸, 공항-＞리조트 편도 픽업",3,나트랑,5,단체,브랜드미적용,1009000,987000,,0,깜란에 위치한 알마리조트 1베드 스위트 오션뷰 에어텔 상품입니다. 
MAV1809,AVB223260331RSF,20260331,화,에어서울,,939000,1,AVB223260325ZEF,나트랑 자유여행 5일#알마리조트/스위트오션뷰테라스룸 #리조트워터파크 #다채로운수영장 #아동동반여행 #공항-＞리조트 편도 픽업,"알마리조트/스위트오션뷰테라스룸, 공항-＞리조트 편도 픽업",3,나트랑,5,단체,브랜드미적용,1009000,987000,,0,깜란에 위치한 알마리조트 1베드 스위트 오션뷰 에어텔 상품입니다. 
