대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD13A29QQFB,MHJ-PRD13A29QQFB,상시,상시,정보없음(항공불포함),4791,4791,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,입장권/패스,[즉시확정][베트남] 롯데마트 이바우처 금액권 #Lotte Mart,4.5,47
MHJ-PRD18911WE49,MHJ-PRD18911WE49,상시,상시,정보없음(항공불포함),3062,3062,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[베트남] eSIM 베트남 전지역 로컬망 이심 로밍망 이심/전세계 무료통화 제공,4.5,17
MHJ-PRD2988DRBLA,MHJ-PRD2988DRBLA,상시,상시,정보없음(항공불포함),6258,6258,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[즉시확정][베트남 이심] eSIM 로컬망 무제한 데이터,5.0,2
MHJ-PRD3384EAQL0,MHJ-PRD3384EAQL0,상시,상시,정보없음(항공불포함),846,846,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[베트남 이심] 5G 데이터 무제한 유심 푸꾸옥 다낭 나트랑 비나폰 4일 e심 eSIM,4.5,20
MHJ-PRD1AF56TIUE,MHJ-PRD1AF56TIUE,상시,상시,정보없음(항공불포함),7935,7935,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[베트남유심] 해외유심 통화 데이터 무제한 다낭 호치민 하노이 푸꾸옥 유심칩 인천 공항수령,5.0,6
MHJ-PRD3113EOIFT,MHJ-PRD3113EOIFT,상시,상시,정보없음(항공불포함),15900,15900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,입장권/패스,인천국제공항 공항리무진버스 편도 티켓 예약 #서울 시내 주요지역 이용 가능 # 즉시사용가능,4.5,312
MHJ-PRD29C0ETS4F,MHJ-PRD29C0ETS4F,상시,상시,정보없음(항공불포함),7665,7665,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[공항수령]  고프로10 대여 고프로대여 액션캠 인천공항 당일수령 리뷰작성시 영상편집무료,5.0,6
MHJ-PRD1AF56XE1V,MHJ-PRD1AF56XE1V,상시,상시,정보없음(항공불포함),4001,4001,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[아시아] SKT 포켓와이파이 무제한 데이터 인천공항 SKT부스 수령,3.5,2
MHJ-PRD421E9LVT8,MHJ-PRD421E9LVT8,상시,상시,정보없음(항공불포함),2431,2431,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,레스토랑,[즉시확정][베트남] 하이랜드 이바우처 금액권 #HIGHLANDS COFFEE,4.5,3
MHJ-PRD09D1EUSST,MHJ-PRD09D1EUSST,상시,상시,정보없음(항공불포함),990,990,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[베트남] 심 여행용 데이터 무제한 eSIM,,0
MHJ-PRD09DE6PB0T,MHJ-PRD09DE6PB0T,상시,상시,정보없음(항공불포함),12900,12900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[베트남전지역] 6일 무제한 인천공항 수령,,0
MHJ-PRD421E9BVUN,MHJ-PRD421E9BVUN,상시,상시,정보없음(항공불포함),4861,4861,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,입장권/패스,[즉시확정][베트남] 스타벅스 금액권_#Starbucks in Vietnam,,0
MHJ-PRD2E8A1IOYT,MHJ-PRD2E8A1IOYT,상시,상시,정보없음(항공불포함),21000,21000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,입장권/패스,[베트남][전지역가능] 베트남 입/출국 패스트트랙_#하노이+#다낭+#나트랑+#호치민+#푸꾸옥,,0
MHJ-PRD0C3CEVHN2,MHJ-PRD0C3CEVHN2,상시,상시,정보없음(항공불포함),5880,5880,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[베트남 전지역] eSIM 무제한 데이터 요금제,,0
MHJ-PRD35C9FY9AX,MHJ-PRD35C9FY9AX,상시,상시,정보없음(항공불포함),95742,95742,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑]나트랑 럭셔리 호핑투어_#스노쿨링#왕복차량#한국인전용#프라이빗전용비치,5.0,3
MHJ-PRD18B68YM3G,MHJ-PRD18B68YM3G,상시,상시,정보없음(항공불포함),38352,38352,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,입장권/패스,[베트남] 나트랑 빈원더스 입장권+왕복케이블카 포함 | QR즉시 사용 | 빈버스 2회 무료이용,4.5,14
MHJ-PRD35E99COC4,MHJ-PRD35E99COC4,상시,상시,정보없음(항공불포함),8105,8105,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,★최강특가★[나트랑] 깜란 공항 픽업샌딩↔ 호텔( 깜란/시내/혼총/닌반베이 지역),5.0,9
MHJ-PRD076D70NPN,MHJ-PRD076D70NPN,상시,상시,정보없음(항공불포함),26982,26982,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[스타인판랑] 나트랑출발 판랑 사막 지프투어 (한국어가이드 선라이즈 데이 선셋 ATV선택),4.5,5
MHJ-PRD0EDFCMSKI,MHJ-PRD0EDFCMSKI,상시,상시,정보없음(항공불포함),18230,18230,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[베트남]나트랑 깜란 공항 패스트트랙_VIP서비스. 빠른 출국,,0
MHJ-PRD2E711ZGIO,MHJ-PRD2E711ZGIO,상시,상시,정보없음(항공불포함),30717,30717,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,입장권/패스,[베트남] 무이네 지프투어_#지프투어_#호치민_#나트랑_#달랏,,0
