상품코드,대상도시,상품형태,상품명,리뷰ID,작성자,평점,내용,작성일,동행,공감수,옵션정보,연령대,리뷰요약1,리뷰요약2,리뷰요약3,리뷰요약4,리뷰요약5
MAV1039,다낭,패키지,[출발확정] 다낭 5일 #시내 4성호텔 #바나힐 테마파크 #호이안 #전신마사지 #캔들라이트 디너 ,312231,꿈꾸는여행가,5,"이번 다낭여행은 가는 날부터 오는 날까지 일정내내 비가 내려서 바나힐에서도 골든브릿지가 보이지도 않고 우산과 우비를 쓰고 다녀야하는 불편함이 있어 무척 아쉬웠습니다.
 그래도 장주영 가이드님과 현지 가이드 안의 인솔하에 큰 차질없이 여유롭게 다닐 수 있었고, 관광지에서는 가는곳마다 현지가이드 안이 사진을 찍어줬는데 이쁘게 나와서 참 좋았답니다.
현지식도 맛있고, 패키지 인원이 16명인데도 아주 큰 버스를 타고 다녀서 아주 쾌적했어요.
역시 하나투어는 믿고 가는 일등 여행사네요.",2026.03.19,가족여행,0,,50,호텔이 시내에 있어요, 일정이 여유로워요, 현지 음식이 맛있어요, 가격이 합리적이에요, 가이드가 배려 깊고 세심해요
MAV1039,다낭,패키지,[출발확정]  다낭 5일 #시내 4성호텔 #바나힐 테마파크 #호이안 #전신마사지 #캔들라이트 디너 ,309656,앙꼬빵냠냠,5,"최고의 가이드 성봉기 가이드님과
함께해서 너무 즐거운 여행이었어요
친정엄마와 아이랑 해서  설연휴지만
즐겁게 즐겼고 엄마가 발을 접지르시는 사고가 약간있었지만 얼음 챙겨주시고 발보호대도 구해다주시고
너무 잘챙겨주셔서 더 좋은 여행이었어요
일정도 알찼고 너무 과하지도 너무 부족하지도 않은
그런 여행이었던거 같아요
선택일정을 고민하다 일부만 선택하고 갔었는데
같이 다닌 팀분들도 다 너무좋으셨고
선택일정추가하며 너무 즐거웠던.여행이었어요",2026.02.19,가족여행,0,"호이안 바구니배 체험,호이안 야경투어",30,호텔이 관광지와 가까워요, 일정이 알차요, 가이드가 전문적이에요, 가이드가 열정적이에요, 가이드가 재밌어요
MAV1039,다낭,패키지,[출발확정] [한정특가] 다낭 5일 #시내 4성호텔 #바나힐 테마파크 #호이안 #전신마사지 #캔들라이트 디너 ,309296,gba******,5,"엄세현 가이드 최고 
안녕하세요! 2월 10-14 3박5일 다낭 다녀온 후기 남깁니다
한국 돌아오니 다낭의 날씨랑 가이드님의 유머러스한 설명 같이 여행하셨던 분들이 자꾸 생각나네요 사실 여행이라는 게 누구를 만나느냐가 제일 중요한데 이번에 정말  엄세현 가이드분 뿐만 아니라 함께 여행하신 분들도 좋은 분들로 만난 것 같아요
일정 내내 컨디션 계속 체크해 주시고,  완벽한 동선과 심심하지 않게 앞에서 이야기 해주셔서 지루할 틈이 없었습니다.  로컬가이드님도 저와 동갑이던데  능숙한 인원 관리와 사진 실력 최고였습니다. 

여행 후 노트북 앞에 앉아 후기를 적으러 들어왔는데 문득 같이 여행하신 분들과  웃으며 이동하던 시간이 생각나네요  30대가 되고 나서 일에 치여 삶이 메마르다고 느껴질 때가 많았는데, 가이드님 덕분에 오랜만에 즐거웠습니다 단순히 가이드가 아니라 인생의 좋은 멘토를 만난 기분이라 만들어주신 이 행복한 기억으로 올 한 해 잘 버텨보겠습니다. 진심으로 감사드리고, 가이드님도 늘 웃음 가득한 날들만 되시길 빌게요!

주변에 다낭 간다는 지인 있으면 무조건 가이드님 추천할게요. 항상 건강하세요! 술 줄이시고요 
",2026.02.16,가족여행,0,"호이안 바구니배 체험,호이안 야경투어,호이안 씨클로,차밍 다낭쇼",20,호텔이 관광지와 가까워요, 일정이 알차요, 현지 음식이 다양해요, 가이드가 배려 깊고 세심해요, 가격이 합리적이에요
MAV1039,다낭,패키지,[출발확정] [청주출발] 다낭 5일 #시내 4성호텔 #바나힐 테마파크 #호이안 #전신마사지 #캔들라이트 디너 ,308578,sun******,5,"오재호 가이드님 덕분에 너무너무 알차고 
3박5일 동안 다낭을 다보고 온거같아서 보람찼어요 
아이들과 함께해서 자유로갈까도 생각해봣는데 
자유로갔으면 다낭을 다 못보고왓을거같아요 
너무너무 감사햇습니다 진짜 진짜 대만족!!!!",2026.02.09,아동동반 여행,0,,30,가격이 합리적이에요, 일정이 알차요, 가이드가 배려 깊고 세심해요, 가이드가 열정적이에요, 가이드가 재밌어요
MAV1039,다낭,패키지,[출발확정] 다낭 5일 #시내 4성호텔 #바나힐 테마파크 #호이안 #전신마사지 #캔들라이트 디너 ,306839,hon*******,5,"전역 이후 여행을 가고 싶어서 친구랑 여행지를 찾아보다가 베트남 다낭이 요즘 많이들 가는 관광지라고 해서 찾아보고 패키지를 선택했는데, 실제로 다녀와 보니 너무 만족스럽고 나중에 기회가 된다면 또 한번 여행하고 싶은 생각이 드네요 ㅎㅎ 음식도 너무 맛있었고 가이드님이 관광지 설명도 잘 해주셔서 매순간 1분1초가 즐거웠던 것 같습니다!",2026.01.24,가족여행,0,,20,호텔이 관광지와 가까워요, 즐길 거리가 다양해요, 현지 음식이 맛있어요, 가격만큼 가치 있어요, 가이드가 전문적이에요
MAV1039,다낭,패키지,[출발확정] 다낭 5일 #미케비치 5성호텔 #오션뷰 #바나힐 테마파크 #호이안 #전신마사지 #다낭타워 씨푸드,305309,sun*******,5,"미케비치 해변가 호텔
자유시간
만으로 상품검색후 예매했는데
7월중순인데도 불구하고

아이와 둘만 갔는데
단독투어라니. . . 말도안되는상황인데. . 
이건모
럭셔리 개인투어가 되어버림. . 
진행해주셔서 감사합니다.

편한여행하도록 안내해주시고
야간, 주간  단체여행객 피해 ,보기좋은시간에  여유있게
관람할수있도록. . 해주셨습니다.

한민석 가이드님
감사했습니다.",2026.01.09,가족여행,0,,50,호텔 부대시설이 좋아요, 호텔에서 쉬기 좋아요, 일정이 여유로워요, 가이드가 열정적이에요,
MAV1039,다낭,패키지,[출발확정] 다낭 5일 #시내 4성호텔 #바나힐 테마파크 #호이안 #전신마사지 #캔들라이트 디너 ,304624,ted********,4,일정 중 생일을 맞이하며 가이드님으로부터 생일케이크를 받게될 줄이야^^  내게 주는 생일선물로 가게 된 나홀로 여행에서 그야말로 특별한 생일을 보냈다  식사 파트너로 동반하게 된  다른팀과  여행하는 동안 함께 즐거운 시간을 보내는  선물같은 시간에 감사드립니다 ,2026.01.01,친구모임,0,"호이안 바구니배 체험,호이안 야경투어,다낭 야경투어",60,객실이 깨끗해요, 객실 뷰가 좋아요, 즐길 거리가 다양해요, 가격만큼 가치 있어요, 가이드가 배려 깊고 세심해요
MAV1039,다낭,패키지,[출발확정]  다낭 5일 #시내 4성호텔 #바나힐 테마파크 #호이안 #전신마사지 #캔들라이트 디너 ,304600,jan*******,4,"짧은 여행기간 날씨도 좋았고 현지 음식도 좋았습니다.편안하고 안정적인 가이드분의 안내로
 불편하지 않게 여행할수 있었습니다 .
서로 배려하며 여행기간 함께 해 준
구성원 모두 감사합니다.
새해 복 많이 받으세요♧",2026.01.01,가족여행,0,,50,가이드가 전문적이에요, 가격이 합리적이에요, 현지 음식이 다양해요, 일정이 알차요, 호텔이 관광지와 가까워요
MAV1039,다낭,패키지,[출발확정] 다낭 6일 #시내 4성호텔 #바나힐 테마파크 #호이안 #전신마사지 #캔들라이트 디너 #1일 자유,304212,jko****,5,"다낭의 빛나는 다이아몬드, 언어의 마술사, 가이드계의 지존 고지영님 최고~!

지난해 6월 사랑하는 손녀, 아들가족과 우리끼리 상품 호이안 빈펄리조트풀빌라여행을 다녀와서 다낭의 매력에 푸욱 빠져서 우기의  끝자락 임에도 60대 부부가 재방문을 했습니다. 경기도 다낭시는 한번도 안가본 사람은 있어도 한번만 가본 사람은 없다는 말이 있을 정도로 매력적이고, 신나고, 즐거운 여행지가 맞습니다. 여행지도 매력적인데 이번 여행에서는 4박 6일 내내 황홀할 정도로, 부모님을 모시고 여행하는 것 처럼 세심하게, 꼼꼼하게, 편안하게, 안전하게 일정을 안내해주시고, 배려해주시고, 자유일정 있는 날 안전까지 고려해서 좋은 동선까지 안내해주신 우리 고지영 가이드님 너무 감사하고 고마웠습니다. 

아들과 비슷한 연령대이고 명품을 즐기는취향도 비슷해서 패키지여행이지만 마치 딸과 함께 여행하는 착각을 할 정도로 이동 중에는 너무 너무 재미있게 베트남의 역사, 경제, 문화, 생활모습 등에 대하여 귀에 쏙쏙 들어오게 이야기를 해주셨습니다.  이렇게 언어로 사람의 마음을 사로잡는 기술이 출중한데 아~! 우리 지영님은 가이드연합당을 만들어서 정치계로 나가셔도 성공 할 큰 인물이라고 느꼈습니다. 언어의 마술사는 바로 고지영님 같은 분이라고 해야하겠지요?

함께 움직인 화이 로컬가이드님과도 호흡이 척척 잘맞아서 우리팀 22명 모두가 여행이 한층 더 즐거웠던 것 같습니다.  비를 맞을까봐 우비를 상시 준비해가지고 다니신 것도 감동, 사람을 부리는 리더쉽도 최고이신 우리 고지영님 사랑합니다. 4박6일 일정동안 효율적인 동선을 고려하여 관광지방문 시각, 식사 시각 및 메뉴, 후식 커피 등등의 동선은 최고였습니다. 쇼핑센터도 3군데나 들렸지만 전혀 지루하지 않고, 의학상식 학습과 서프라이즈 개로 부터 익힌 커피문화 알아보기 등등의 즐거운 쇼핑을 하도록 배려해주신 점도 최고였습니다. 자비로 사주신 다낭 최고의 커피맛집, 웰컴과일 눈물나게 고마웠습니다.

마지막 날 마지막 코스인 아로마스톤맛사지 또한 이제까지 받아본 맛사지 중 최고였습니다. 맛사지를 받고 나와서 공항가는 버스에서 마지막 인사를 하며 늦은 비행기라 공항에서 우리 고객님들 배가 고프실까봐 베트남 대표간식 반미를 사비로 준비하셨다는 마지막 선물에는 눈물이 왈칵 쏟아졌습니다. 마치 사랑하는 딸을 먼 타국에 두고오는 부모의 마음처럼. 

사랑하는 고지영님~!
감사했습니다. 고마웠습니다. 
우리 지영님은 직업에 대한 사명감과 고객에 대한 철저한 책임의식과 봉사의 마음이 남다르시고 자신의 직업에 대한 자부심과 자긍심으로 충만하신 가이드계의 커다란 반짝이는 큰별이라고 칭찬을 해드리고 싶습니다. 자신의 일을 이렇게 즐거운 마음으로 수행하시는 가이드님을 뵌적이 없던 것 같습니다. 훌륭하신 분이라고 많이 많이 칭찬해드리고싶습니다. 패키지 여행을 주제로 드라마 만드시면 꼭 꼭 연락주세요. 지영님께서 만드신 작품이라면 그 또한 최고의 작품일 것 같은 예감입니다.

4박6일 동안 안전강조, 숙소, 식사, 관광 어느것 하나 빠짐없이 여성다운 세심함으로 고객에게 큰 만족을 주신 고지영 가이드님 사랑합니다. 감사합니다. 고맙습니다. 언제나 건강하시기를 바랍니다. 다낭에 또 가면 꼭 뵐 수 있었으면 좋겠습니다.

하나투어의 다이아몬드 다낭 가이드 고지영이 최고다~~~~~~~!!!!!!!!!",2025.12.28,가족여행,0,,60,객실 뷰가 좋아요, 일정이 여유로워요, 현지 음식이 맛있어요, 가격만큼 가치 있어요, 가이드가 전문적이에요
MAV1039,다낭,패키지,[출발확정] 다낭 5일 #시내 4성호텔 #바나힐 테마파크 #호이안 #전신마사지 #캔들라이트 디너 ,303561,박정유,5,"김진우가이드님을 칭찬합니당
넘 즐거운 여행이였어용 가이드님께서 열정적이고
세심하게 이끌어주셔서 더욱 즐거운 여행이였습니당
한커플한커플사진도 다찍어주시고 바쁜 와중에 사진
들을 영상으로 만들어 선문해주셔서 더욱 오래 기억
될 것 같아용 김진우가이드님감사합니당 ",2025.12.21,가족여행,0,,50,호텔이 관광지와 가까워요, 현지 음식이 다양해요, 가격이 합리적이에요, 가이드가 배려 깊고 세심해요,
