대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,잔여좌석수,기준판매코드,기본상품명,호텔명,숙박일수,방문도시,호텔등급,상품구분,브랜드,성인가격_상세,아동가격_상세,가이드경비(USD),쇼핑횟수,일정상세
MAS1042,ASB211260325SQA,20260325,수,싱가포르항공,,966000,1,ASB211260325SQA,싱가포르 자유여행 5일 #호텔보스 #4성호텔 #가성비최고 #센토사디스커버리초이스패스 #여행자 보험 ,4성호텔,3,싱가포르,4,단체,브랜드미적용,966000,889100,,0,
MAS1042,ASB211260325OZA,20260325,수,아시아나항공,,1409000,1,ASB211260325SQA,싱가포르 자유여행 5일 #호텔보스 #4성호텔 #가성비최고 #센토사디스커버리초이스패스 #여행자 보험 ,4성호텔,3,싱가포르,4,단체,브랜드미적용,966000,889100,,0,
MAS1042,ASB211260325SQ1,20260325,수,싱가포르항공,,1006000,1,ASB211260325SQA,싱가포르 자유여행 5일 #호텔보스 #4성호텔 #가성비최고 #센토사디스커버리초이스패스 #여행자 보험 ,4성호텔,3,싱가포르,4,단체,브랜드미적용,966000,889100,,0,
MAS1042,ASB2112603257CA,20260325,수,제주항공,,729900,8,ASB211260325SQA,싱가포르 자유여행 5일 #호텔보스 #4성호텔 #가성비최고 #센토사디스커버리초이스패스 #여행자 보험 ,4성호텔,3,싱가포르,4,단체,브랜드미적용,966000,889100,,0,
MAS1042,ASB211260326SQA,20260326,목,싱가포르항공,,1366000,10,ASB211260325SQA,싱가포르 자유여행 5일 #호텔보스 #4성호텔 #가성비최고 #센토사디스커버리초이스패스 #여행자 보험 ,4성호텔,3,싱가포르,4,단체,브랜드미적용,966000,889100,,0,
MAS1042,ASB211260326SQ1,20260326,목,싱가포르항공,,1306000,2,ASB211260325SQA,싱가포르 자유여행 5일 #호텔보스 #4성호텔 #가성비최고 #센토사디스커버리초이스패스 #여행자 보험 ,4성호텔,3,싱가포르,4,단체,브랜드미적용,966000,889100,,0,
MAS1042,ASB2112603267CA,20260326,목,제주항공,,929900,8,ASB211260325SQA,싱가포르 자유여행 5일 #호텔보스 #4성호텔 #가성비최고 #센토사디스커버리초이스패스 #여행자 보험 ,4성호텔,3,싱가포르,4,단체,브랜드미적용,966000,889100,,0,
MAS1042,ASB211260327SQA,20260327,금,싱가포르항공,,1116000,7,ASB211260325SQA,싱가포르 자유여행 5일 #호텔보스 #4성호텔 #가성비최고 #센토사디스커버리초이스패스 #여행자 보험 ,4성호텔,3,싱가포르,4,단체,브랜드미적용,966000,889100,,0,
MAS1042,ASB211260327OZA,20260327,금,아시아나항공,,1209000,1,ASB211260325SQA,싱가포르 자유여행 5일 #호텔보스 #4성호텔 #가성비최고 #센토사디스커버리초이스패스 #여행자 보험 ,4성호텔,3,싱가포르,4,단체,브랜드미적용,966000,889100,,0,
MAS1042,ASB211260327SQ1,20260327,금,싱가포르항공,,1026000,3,ASB211260325SQA,싱가포르 자유여행 5일 #호텔보스 #4성호텔 #가성비최고 #센토사디스커버리초이스패스 #여행자 보험 ,4성호텔,3,싱가포르,4,단체,브랜드미적용,966000,889100,,0,
