대표상품코드,판매상품코드,상품명,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,기준판매코드,기본상품명,성인가격_상세,아동가격_상세,가이드경비(USD),싱글룸추가비용,유류할증료,쇼핑횟수,쇼핑매장내역
MAS1066,ASP2962603257CA,[하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,20260325,수,제주항공,,899000,예약가능,10,ASP2962604197CA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,849000,849000,40.0,340000,63700,0,
MAS1066,ASP2962603267CA,[하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,20260326,목,제주항공,,1099000,예약가능,6,ASP2962604197CA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,849000,849000,40.0,340000,63700,0,
MAS1066,ASP2962603317CA,[하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,20260331,화,제주항공,,1049000,예약가능,10,ASP2962604197CA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,849000,849000,40.0,340000,63700,0,
MAS1066,ASP296260331KEA,[하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,20260331,화,대한항공,,1519000,예약가능,4,ASP2962604197CA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,849000,849000,40.0,340000,63700,0,
MAS1066,ASP296260401TWA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,20260401,수,티웨이항공,,999900,예약가능,1,ASP2962604197CA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,849000,849000,40.0,340000,63700,0,
MAS1066,ASP2962604017CA,[하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,20260401,수,제주항공,,899000,예약가능,10,ASP2962604197CA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,849000,849000,40.0,340000,63700,0,
MAS1066,ASP296260402TWA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,20260402,목,티웨이항공,,999900,예약가능,1,ASP2962604197CA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,849000,849000,40.0,340000,63700,0,
MAS1066,ASP296260402OZA,[하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,20260402,목,아시아나항공,,1439000,예약가능,10,ASP2962604197CA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,849000,849000,40.0,340000,63700,0,
MAS1066,ASP2962604027CA,[하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,20260402,목,제주항공,,899000,예약가능,10,ASP2962604197CA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,849000,849000,40.0,340000,63700,0,
MAS1066,ASP296260402KEA,[하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,20260402,목,대한항공,,1299000,예약가능,10,ASP2962604197CA,[출발확정] [하나LIVE에디션] 싱가포르 5일 #완전특가 #1일자유 #센토사루지 #슈퍼트리쇼 #4성호텔 #NO쇼핑,849000,849000,40.0,340000,63700,0,
