대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD3113EOIFT,MHJ-PRD3113EOIFT,상시,상시,정보없음(항공불포함),15900,15900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,인천국제공항 공항리무진버스 편도 티켓 예약 #서울 시내 주요지역 이용 가능 # 즉시사용가능,4.5,312
MHJ-PRD1AF56XE1V,MHJ-PRD1AF56XE1V,상시,상시,정보없음(항공불포함),4001,4001,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,여행서비스,[아시아] SKT 포켓와이파이 무제한 데이터 인천공항 SKT부스 수령,3.5,2
MHJ-PRD30E84JMH9,MHJ-PRD30E84JMH9,상시,상시,정보없음(항공불포함),11109,11109,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,여행서비스,[렌탈/24시간 공항수령반납] 고프로12 풀패키지 인천공항 무료 영상편집 고프로 대여 액션캠,4.5,3
MHJ-PRD35EFAEXVW,MHJ-PRD35EFAEXVW,상시,상시,정보없음(항공불포함),7665,7665,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,여행서비스,[공항수령/카메라대여] 인스탁스 미니에보 대여/ 렌탈 #폴라로이드 #인천공항 당일수령,,0
MHJ-PRD1AF56GOM7,MHJ-PRD1AF56GOM7,상시,상시,정보없음(항공불포함),16928,16928,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,여행서비스,[글로벌 유심] 57개국 해외유심 무제한 데이터 유심칩 공항수령,,0
MHJ-PRD24EB5XEAD,MHJ-PRD24EB5XEAD,상시,상시,정보없음(항공불포함),60393,60393,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[싱가포르] 콕찝어 베스트 야경투어 (리버크루즈+MBS 스펙트라쇼+슈퍼트리 가든랩소디쇼),5.0,19
MHJ-PRD29AE5GC2D,MHJ-PRD29AE5GC2D,상시,상시,정보없음(항공불포함),79228,79228,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 유니버셜 스튜디오 입장권 티켓,5.0,2
MHJ-PRD4BFB9WIKY,MHJ-PRD4BFB9WIKY,상시,상시,정보없음(항공불포함),2000,2000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,레스토랑,[싱가포르] 아이주스 스마트 자판기 _IJOOZ,5.0,4
MHJ-PRD2C1F5OHQG,MHJ-PRD2C1F5OHQG,상시,상시,정보없음(항공불포함),57740,57740,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 나이트 사파리 입장권(트램 이용권 포함),,0
MHJ-PRD1B0853XOJ,MHJ-PRD1B0853XOJ,상시,상시,정보없음(항공불포함),2937,2937,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,여행서비스,[싱가포르] eSIM 싱가포르 전지역 데이터 이심 / 전세계 무료통화 제공,,0
