연도,월,지역,국가,관광객수
2004,1,미주,미국,63341
2004,1,미주,캐나다,11243
2004,1,미주,브라질,2335
2004,1,미주,도미니카공화국,35
2004,1,미주,자메이카,32
2004,1,미주,페루,4641
2004,2,미주,미국,47191
2004,2,미주,캐나다,7927
2004,2,미주,브라질,2515
2004,2,미주,도미니카공화국,53
2004,2,미주,자메이카,23
2004,3,미주,미국,43664
2004,3,미주,캐나다,9243
2004,3,미주,브라질,1804
2004,3,미주,도미니카공화국,51
2004,3,미주,자메이카,14
2004,4,미주,미국,40831
2004,4,미주,캐나다,11723
2004,4,미주,브라질,1379
2004,4,미주,도미니카공화국,157
2004,4,미주,자메이카,10
2004,5,미주,미국,52600
2004,5,미주,캐나다,14088
2004,5,미주,브라질,1668
2004,5,미주,도미니카공화국,44
2004,5,미주,자메이카,30
2004,6,미주,미국,62410
2004,6,미주,캐나다,20079
2004,6,미주,브라질,1754
2004,6,미주,도미니카공화국,43
2004,6,미주,자메이카,7
2004,7,미주,미국,70805
2004,7,미주,캐나다,27171
2004,7,미주,브라질,1553
2004,7,미주,도미니카공화국,52
2004,7,미주,자메이카,20
2004,8,미주,미국,66825
2004,8,미주,캐나다,24351
2004,8,미주,브라질,1806
2004,8,미주,도미니카공화국,119
2004,8,미주,자메이카,20
2004,9,미주,미국,48594
2004,9,미주,캐나다,24295
2004,9,미주,브라질,2053
2004,9,미주,도미니카공화국,40
2004,9,미주,자메이카,8
2004,10,미주,미국,40976
2004,10,미주,캐나다,20684
2004,10,미주,브라질,1820
2004,10,미주,도미니카공화국,11
2004,10,미주,자메이카,16
2004,11,미주,미국,39303
2004,11,미주,캐나다,8084
2004,11,미주,브라질,1438
2004,11,미주,도미니카공화국,61
2004,11,미주,자메이카,17
2004,12,미주,미국,50055
2004,12,미주,캐나다,12094
2004,12,미주,브라질,1228
2004,12,미주,도미니카공화국,73
2004,12,미주,자메이카,16
2005,1,미주,미국,68439
2005,1,미주,캐나다,12476
2005,1,미주,브라질,2148
2005,1,미주,도미니카공화국,60
2005,1,미주,자메이카,16
2005,1,미주,코스타리카,228
2005,1,미주,페루,5668
2005,2,미주,미국,47573
2005,2,미주,캐나다,9290
2005,2,미주,브라질,2425
2005,2,미주,도미니카공화국,40
2005,2,미주,자메이카,14
2005,2,미주,코스타리카,175
2005,3,미주,미국,45616
2005,3,미주,캐나다,11085
2005,3,미주,브라질,1805
2005,3,미주,도미니카공화국,97
2005,3,미주,자메이카,14
2005,3,미주,코스타리카,302
2005,4,미주,미국,48850
2005,4,미주,캐나다,13189
2005,4,미주,브라질,1578
2005,4,미주,도미니카공화국,60
2005,4,미주,자메이카,10
2005,4,미주,코스타리카,167
2005,5,미주,미국,60066
2005,5,미주,캐나다,15066
2005,5,미주,브라질,2067
2005,5,미주,도미니카공화국,70
2005,5,미주,자메이카,26
2005,5,미주,코스타리카,254
2005,6,미주,미국,68844
2005,6,미주,캐나다,22328
2005,6,미주,브라질,2190
2005,6,미주,도미니카공화국,59
2005,6,미주,자메이카,22
2005,6,미주,코스타리카,256
2005,7,미주,미국,80141
2005,7,미주,캐나다,30118
2005,7,미주,브라질,2139
2005,7,미주,도미니카공화국,130
2005,7,미주,자메이카,16
2005,7,미주,코스타리카,352
2005,8,미주,미국,80891
2005,8,미주,캐나다,25081
2005,8,미주,브라질,2421
2005,8,미주,도미니카공화국,80
2005,8,미주,자메이카,20
2005,8,미주,코스타리카,267
2005,9,미주,미국,53737
2005,9,미주,캐나다,17799
2005,9,미주,브라질,2422
2005,9,미주,도미니카공화국,90
2005,9,미주,자메이카,12
2005,9,미주,코스타리카,587
2005,10,미주,미국,50346
