연도,월,ICAO,IATA,항공사명,공항,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg),국가,도시,지역,여객_계
2018,1,AAL,AA,아메리칸항공,DFW,정기,여객,6133,16,2056,331050,0,67491,180208,미국,댈러스,미주,
2018,1,AAR,OZ,아시아나항공,ALA,정기,여객,1472,8,273,68553,52062,3503,38367,카자흐스탄,알마티,아시아,
2018,1,AAR,OZ,아시아나항공,BKK,정기,여객,15288,45,1857,347879,99175,18374,272265,태국,방콕,아시아,
2018,1,AAR,OZ,아시아나항공,CAN,정기,여객,10762,22,1013,205196,60791,8117,194419,중국,광저우,아시아,
2018,1,AAR,OZ,아시아나항공,CDG,정기,여객,5149,15,949,212541,74338,12821,105435,프랑스,파리,유럽,
2018,1,AAR,OZ,아시아나항공,CEB,정기,여객,4385,73,2420,19365,19113,0,127047,필리핀,라푸라푸,아시아,
2018,1,AAR,OZ,아시아나항공,CGK,정기,여객,7463,29,617,275414,129117,0,177444,인도네시아,자카르타,아시아,
2018,1,AAR,OZ,아시아나항공,CGQ,정기,여객,5107,46,473,13908,2813,7550,88987,중국,창춘,아시아,
2018,1,AAR,OZ,아시아나항공,CKG,정기,여객,1603,6,49,8261,92,0,22395,중국,충칭,아시아,
2018,1,AAR,OZ,아시아나항공,CNX,부정기,여객,1899,0,0,0,0,0,29563,태국,치앙마이,아시아,
2018,1,AAR,OZ,아시아나항공,CRK,정기,여객,3579,10,1413,1138,64,0,119156,필리핀,앙헬레스,아시아,
2018,1,AAR,OZ,아시아나항공,CSX,정기,여객,2167,0,50,735,0,0,26140,중국,창사,아시아,
2018,1,AAR,OZ,아시아나항공,CTS,정기,여객,6126,13,1214,0,0,0,76770,일본,삿포로,아시아,
2018,1,AAR,OZ,아시아나항공,CTU,정기,여객,3270,6,147,8918,1107,0,57267,중국,청두,아시아,
2018,1,AAR,OZ,아시아나항공,DAD,정기,여객,10460,53,878,40694,33453,0,141566,베트남,다낭,아시아,
2018,1,AAR,OZ,아시아나항공,DEL,정기,여객,5172,21,2050,77421,0,0,147320,인도,델리,아시아,
2018,1,AAR,OZ,아시아나항공,DLC,정기,여객,4743,37,692,74256,61523,0,78509,중국,다롄,아시아,
2018,1,AAR,OZ,아시아나항공,FCO,정기,여객,5681,6,406,130877,87333,0,90174,이탈리아,로마,유럽,
2018,1,AAR,OZ,아시아나항공,FRA,정기,여객,11814,41,1106,147830,71360,19179,221118,독일,프랑크푸르트,유럽,
2018,1,AAR,OZ,아시아나항공,FUK,정기,여객,18056,102,1533,222890,166854,19511,175734,일본,후쿠오카,아시아,
2018,1,AAR,OZ,아시아나항공,HAK,정기,여객,1106,0,0,0,0,0,26237,중국,하이커우,아시아,
2018,1,AAR,OZ,아시아나항공,HAK,부정기,여객,159,0,0,0,0,0,3643,중국,하이커우,아시아,
2018,1,AAR,OZ,아시아나항공,HAN,정기,여객,16038,65,1844,347290,200549,8834,255443,베트남,하노이,아시아,
2018,1,AAR,OZ,아시아나항공,HGH,정기,여객,6770,15,225,109780,29328,0,88384,중국,항저우,아시아,
2018,1,AAR,OZ,아시아나항공,HKG,정기,여객,16072,45,1065,322982,102581,14924,350323,홍콩,홍콩,아시아,
2018,1,AAR,OZ,아시아나항공,HKT,정기,여객,6356,67,1724,153029,0,0,91713,태국,푸껫,아시아,
2018,1,AAR,OZ,아시아나항공,HND,정기,여객,3533,14,1543,115,0,0,65786,일본,도쿄,아시아,
2018,1,AAR,OZ,아시아나항공,HNL,정기,여객,5751,44,2005,122680,72503,36126,120620,미국,호놀룰루,미주,
2018,1,AAR,OZ,아시아나항공,HRB,정기,여객,6117,57,693,9922,1013,8782,115607,중국,하얼빈,아시아,
2018,1,AAR,OZ,아시아나항공,IST,정기,여객,3008,1,76,13241,12370,0,49179,터키,이스탄불,아시아,
2018,1,AAR,OZ,아시아나항공,JFK,정기,여객,5877,30,2605,88981,15498,46200,226646,미국,뉴욕,미주,
2018,1,AAR,OZ,아시아나항공,KHV,정기,여객,325,30,1410,6203,4362,147,28725,러시아,하바롭스크,유럽,
2018,1,AAR,OZ,아시아나항공,KIX,정기,여객,24085,74,2620,461666,230684,33461,304775,일본,오사카,아시아,
2018,1,AAR,OZ,아시아나항공,KMI,정기,여객,3065,7,82,0,0,0,57466,일본,미야자키,아시아,
2018,1,AAR,OZ,아시아나항공,KWL,정기,여객,2324,2,36,60,0,0,24561,중국,구이린,아시아,
2018,1,AAR,OZ,아시아나항공,LAX,정기,여객,15914,117,11708,192755,66877,47219,678888,미국,로스앤젤레스,미주,
2018,1,AAR,OZ,아시아나항공,LHR,정기,여객,7231,29,1694,285340,192059,44423,163210,영국,런던,유럽,
2018,1,AAR,OZ,아시아나항공,MNL,정기,여객,8420,42,11697,261411,78511,2449,591659,필리핀,마닐라,아시아,
2018,1,AAR,OZ,아시아나항공,NGO,정기,여객,8227,28,1229,39218,13725,21898,119225,일본,나고야,아시아,
2018,1,AAR,OZ,아시아나항공,NKG,정기,여객,4304,16,185,18016,1537,0,61734,중국,난징,아시아,
2018,1,AAR,OZ,아시아나항공,NRT,정기,여객,22604,99,4022,363762,145885,24016,322935,일본,도쿄,아시아,
2018,1,AAR,OZ,아시아나항공,OKA,정기,여객,6599,124,679,27277,18709,4875,84158,일본,오키나와,아시아,
2018,1,AAR,OZ,아시아나항공,ORD,정기,여객,1984,29,3972,56672,38855,9910,170593,미국,시카고,미주,
2018,1,AAR,OZ,아시아나항공,PEK,정기,여객,12418,60,1236,125411,23261,12821,267640,중국,베이징,아시아,
2018,1,AAR,OZ,아시아나항공,PNH,정기,여객,4327,33,550,7653,0,0,91716,캄보디아,프놈펜,아시아,
2018,1,AAR,OZ,아시아나항공,PQC,부정기,여객,2438,45,0,0,0,0,25262,베트남,푸꾸옥,아시아,
2018,1,AAR,OZ,아시아나항공,PVG,정기,여객,22685,49,1300,323544,133957,9730,354137,중국,상하이,아시아,
2018,1,AAR,OZ,아시아나항공,ROR,정기,여객,1438,6,566,0,0,0,27555,팔라우,코로르,오세아니아,
2018,1,AAR,OZ,아시아나항공,SDJ,정기,여객,3258,17,1000,2121,663,0,59133,일본,센다이,아시아,
2018,1,AAR,OZ,아시아나항공,SEA,정기,여객,3051,38,4940,73621,52734,0,207000,미국,시애틀,미주,
2018,1,AAR,OZ,아시아나항공,SFO,정기,여객,4647,37,4643,113566,48726,54217,229015,미국,샌프란시스코,미주,
2018,1,AAR,OZ,아시아나항공,SGN,정기,여객,14410,111,5937,383298,49708,0,450044,베트남,호찌민,아시아,
2018,1,AAR,OZ,아시아나항공,SIN,정기,여객,11089,33,650,397464,169879,6165,161804,싱가포르,싱가포르,아시아,
2018,1,AAR,OZ,아시아나항공,SPN,정기,여객,5004,81,2319,37255,16332,0,88080,북마리아나 제도,사이판,오세아니아,
2018,1,AAR,OZ,아시아나항공,SYD,정기,여객,12157,118,2471,108207,43106,10923,258393,오스트레일리아,시드니,오세아니아,
2018,1,AAR,OZ,아시아나항공,SZX,정기,여객,6677,23,136,69399,23304,0,80010,중국,선전,아시아,
2018,1,AAR,OZ,아시아나항공,TAO,정기,여객,7755,26,945,111776,95813,0,96226,중국,칭다오,아시아,
2018,1,AAR,OZ,아시아나항공,TAS,정기,여객,2819,32,318,30803,2170,1596,127235,우즈베키스탄,타슈켄트,아시아,
2018,1,AAR,OZ,아시아나항공,TPE,정기,여객,18106,52,353,355491,22414,24447,223169,대만,타이베이,아시아,
2018,1,AAR,OZ,아시아나항공,TSN,정기,여객,2892,17,340,13863,2147,0,44815,중국,톈진,아시아,
2018,1,AAR,OZ,아시아나항공,UUS,정기,여객,670,27,840,4753,1205,0,26758,러시아,유즈노사할린스크,유럽,
2018,1,AAR,OZ,아시아나항공,WEH,정기,여객,3953,16,198,21310,1795,0,43830,중국,웨이하이,아시아,
2018,1,AAR,OZ,아시아나항공,XIY,정기,여객,2349,10,103,6793,4109,0,36583,중국,시안,아시아,
2018,1,AAR,OZ,아시아나항공,YNJ,정기,여객,4680,57,134,43487,0,36256,70803,중국,옌지,아시아,
2018,1,AAR,OZ,아시아나항공,YNT,정기,여객,3121,13,349,7260,5238,0,59583,중국,옌타이,아시아,
2018,1,AAR,OZ,아시아나항공,YNZ,정기,여객,1099,3,9,1693,0,0,13991,중국,옌청,아시아,
2018,1,AAV,8Y,팬퍼시픽항공(구 아스트로항공),CEB,부정기,여객,4592,33,0,0,0,0,41699,필리핀,라푸라푸,아시아,
